Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,1,Graduate,No,10608.0,3067.0,147.0,360,1,Rural,Y
Female,Yes,2,Graduate,No,8263.0,216.0,129.0,240,1,Urban,Y
Female,No,3+,Not Graduate,No,3324.0,1901.0,20.0,360,1,Urban,N
Male,No,1,Graduate,No,6625.0,2198.0,218.0,360,1,Semiurban,Y
Male,No,0,Graduate,Yes,3371.0,1338.0,140.0,180,1,Semiurban,N
Female,No,3+,Graduate,No,1500.0,2288.0,113.0,360,1,Semiurban,Y
Male,No,0,Graduate,No,7443.0,1147.0,109.0,360,1,Urban,Y
Female,Yes,2,Graduate,Yes,7752.0,497.0,168.0,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,7501.0,4329.0,87.0,360,0,Semiurban,N
Male,No,0,Graduate,No,4166.0,3383.0,20.0,480,1,Semiurban,N
Female,Yes,3+,Graduate,Yes,4833.0,307.0,171.0,360,0,Semiurban,N
Female,No,0,Not Graduate,No,6849.0,2566.0,179.0,360,0,Semiurban,N
Female,No,2,Graduate,Yes,6061.0,337.0,132.0,360,1,Semiurban,Y
Female,Yes,2,Graduate,No,4334.0,0.0,70.0,360,1,Urban,Y
Female,No,0,Graduate,No,1638.0,3357.0,151.0,360,1,Semiurban,Y
Female,No,0,Graduate,No,5451.0,0.0,50.0,360,1,Urban,Y
Female,Yes,3+,Graduate,No,7574.0,3176.0,78.0,360,1,Urban,Y
Male,Yes,2,Graduate,Yes,2565.0,1170.0,96.0,300,0,Semiurban,N
Female,No,0,Graduate,No,6605.0,1240.0,200.0,360,1,Urban,Y
Male,No,3+,Graduate,No,5929.0,2297.0,121.0,480,1,Urban,N
Female,Yes,1,Graduate,No,6850.0,2588.0,116.0,360,0,Semiurban,N
Male,No,0,Graduate,Yes,7118.0,195.0,272.0,480,1,Semiurban,Y
Male,Yes,3+,Not Graduate,Yes,3672.0,2820.0,168.0,360,0,Rural,N
Female,No,0,Graduate,No,1643.0,1793.0,167.0,300,0,Rural,N
Female,No,2,Graduate,No,4026.0,0.0,121.0,240,1,Rural,Y
Female,Yes,3+,Not Graduate,No,7156.0,1311.0,106.0,360,1,Semiurban,N
Male,No,2,Graduate,No,4008.0,3948.0,20.0,360,1,Urban,Y
Female,No,2,Graduate,No,3673.0,4450.0,208.0,360,1,Semiurban,N
Female,No,1,Not Graduate,No,1500.0,2819.0,174.0,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,9056.0,0.0,133.0,360,0,Semiurban,N
Male,Yes,2,Graduate,Yes,7017.0,2434.0,136.0,360,0,Urban,N
Male,Yes,3+,Graduate,No,6894.0,3046.0,193.0,360,1,Urban,Y
Male,Yes,0,Graduate,No,7329.0,2834.0,44.0,360,1,Urban,Y
Female,Yes,3+,Graduate,No,6469.0,2934.0,107.0,360,1,Urban,Y
Female,No,1,Graduate,Yes,4662.0,2218.0,71.0,360,1,Urban,Y
Male,No,2,Graduate,No,4840.0,1477.0,260.0,480,0,Rural,N
Female,No,0,Graduate,No,4259.0,566.0,202.0,360,1,Urban,Y
